Source	Target	Type	Weight	8	12	10	6	7	weight	timeset	19	9	id	13	11	label	16	14	15	18	17
3TVXtAsR1Inumwj472S9r4	3fMbdgg4jU18AjLCKBhRSm	0	2.0	Undirected	Michael Jackson	2	2	780	2.0	null	day	7582	44	2945	Drake	null	false	6G8kHiVZ1jW7vHMPVRNZU0	Don’t Matter To Me (with Michael Jackson)	29/06/2018	84
3TVXtAsR1Inumwj472S9r4	55Aa2cqylxrFIXC767Z865	0	10.0	Undirected	Lil Wayne	10	2	285	10.0	null	day	7350	45	6040	Drake	null	true	7KcGEssn7BnJdTgildK5y0	No Frauds	10/03/2017	68
3TVXtAsR1Inumwj472S9r4	1sBkRIssrMs1AbVkOJbc7a	0	6.0	Undirected	Rick Ross	6	2	675	6.0	null	day	7349	46	8214	Drake	null	true	0nq6sfr8z1R5KJ4XUk396e	Stay Schemin	10/04/2012	61
3TVXtAsR1Inumwj472S9r4	0QHgL1lAIqAw0HtD7YldmP	0	4.0	Undirected	DJ Khaled	4	2	755	4.0	null	day	7348	47	2863	Drake	null	true	5TqBAOIBe0bQA0spNdcG3k	For Free	05/08/2016	57
3TVXtAsR1Inumwj472S9r4	1RyvyyTE3xzB2ZywiAwp0i	0	6.0	Undirected	Future	6	2	20	6.0	null	day	7277	48	6039	Drake	null	true	7tGlzXJv6GD5e5qlu5YmDg	Love Me	01/01/2013	68
3TVXtAsR1Inumwj472S9r4	2YZyLoL8N0Wb9xBt1NhZWg	0	2.0	Undirected	Kendrick Lamar	2	2	68	2.0	null	day	563	49	153	Drake	null	true	4XoP1AkbOurU9CeZ2rMEz2	F**kin' Problems	11/01/2013	76
3TVXtAsR1Inumwj472S9r4	13ubrt8QOOCPljQ2FL1Kca	0	2.0	Undirected	A$AP Rocky	2	2	48	2.0	null	day	561	50	153	Drake	null	true	4XoP1AkbOurU9CeZ2rMEz2	F**kin' Problems	11/01/2013	76
3TVXtAsR1Inumwj472S9r4	0VRj0yCOv2FXJNP47XQnx5	0	2.0	Undirected	Quavo	2	2	3	2.0	null	day	3	51	1	Drake	null	true	5S1IUPueD0xE0vj4zU3nSf	Bigger Than You (feat. Drake & Quavo)	15/06/2018	85
0VRj0yCOv2FXJNP47XQnx5	50co4Is1HCEo8bhOyUWKpn	0	2.0	Undirected	Young Thug	2	3	38	2.0	null	day	23259	52	10632	Quavo	null	true	1BSA5I386L2IAmFQURYjIz	Guwop (feat. Quavo, Offset and Young Scooter)	26/08/2016	66
0VRj0yCOv2FXJNP47XQnx5	7c0XG5cIJTrrAgEC3ULPiq	0	2.0	Undirected	Ty Dolla $ign	2	3	4	2.0	null	day	22539	53	10179	Quavo	null	true	2R7Gn3cjnPaVO0Oj8nsTDP	Pineapple (feat. Gucci Mane & Quavo)	11/05/2018	77
0VRj0yCOv2FXJNP47XQnx5	1pPmIToKXyGdsCF6LmqLmI	0	2.0	Undirected	Rich The Kid	2	3	869	2.0	null	day	19598	54	8203	Quavo	null	true	0P1O6JO2i19etVxXqgPHpa	Lost It (feat. Quavo & Offset)	30/03/2018	75
0VRj0yCOv2FXJNP47XQnx5	7wlFDEWiM5OoIAt8RSli8b	0	2.0	Undirected	YoungBoy Never Broke Again	2	3	42	2.0	null	day	17669	55	6925	Quavo	null	true	3LUPftNsM4KOk7kINY8keB	Pleading The Fifth (feat. Quavo)	17/11/2017	62
0VRj0yCOv2FXJNP47XQnx5	738wLrAtLtCtFOLvQBXOXp	0	2.0	Undirected	Major Lazer	2	3	193	2.0	null	day	16848	56	6378	Quavo	null	false	6BKeNWeUqxmvQ09Gxd3ZGX	Know No Better	01/06/2017	68
0VRj0yCOv2FXJNP47XQnx5	6icQOAFXDZKsumw3YXyusw	0	2.0	Undirected	Lil Yachty	2	3	101	2.0	null	day	15932	57	6053	Quavo	null	true	3wdfLVUhmX64lIyWIIEW8s	Ice Tray	08/12/2017	75
0VRj0yCOv2FXJNP47XQnx5	46SHBwWsqBkxI7EeeBEQG7	0	2.0	Undirected	Kodak Black	2	3	40	2.0	null	day	15720	58	5963	Quavo	null	true	49K3jbwZmZKaDGTfjpIVg0	My Dawg	08/12/2017	70
