Id	eigencentrality	1	0	2	3	eccentricity	betweenesscentrality	timeset	5	4	harmonicclosnesscentrality	id	degree	triangles	clustering	modularity_class	label	closnesscentrality	weighted degree
1vSN1fsvrzpbttOYGsliDr	0.0	Tori Kelly	165	68	1399140	0.0	0.0	null	1vSN1fsvrzpbttOYGsliDr.jpg	dance pop, pop, post-teen pop, r&b, viral pop	0.0	1vSN1fsvrzpbttOYGsliDr	0	0	0.0	113	1vSN1fsvrzpbttOYGsliDr	0.0	0.0
0pX70hF85qlg0TGNFIa0at	0.0	Amy Vachal	166	20	6238	0.0	0.0	null	0pX70hF85qlg0TGNFIa0at.jpg	NaN	0.0	0pX70hF85qlg0TGNFIa0at	0	0	0.0	114	0pX70hF85qlg0TGNFIa0at	0.0	0.0
6Q192DXotxtaysaqNPy5yR	0.0	Amy Winehouse	167	74	4722687	0.0	0.0	null	6Q192DXotxtaysaqNPy5yR.jpg	neo soul	0.0	6Q192DXotxtaysaqNPy5yR	0	0	0.0	115	6Q192DXotxtaysaqNPy5yR	0.0	0.0
2lolQgalUvZDfp5vvVtTYV	0.0	Tony Bennett	168	59	333919	0.0	0.0	null	2lolQgalUvZDfp5vvVtTYV.jpg	adult standards, christmas, easy listening, lounge, vocal jazz	0.0	2lolQgalUvZDfp5vvVtTYV	0	0	0.0	116	2lolQgalUvZDfp5vvVtTYV	0.0	0.0
5v61OSg53KaQxGMpErkBNp	0.0	Anberlin	169	52	192191	0.0	0.0	null	5v61OSg53KaQxGMpErkBNp.jpg	christian alternative rock, christian rock, dreamo, emo, pop punk, pop rock	0.0	5v61OSg53KaQxGMpErkBNp	0	0	0.0	117	5v61OSg53KaQxGMpErkBNp	0.0	0.0
5q6z6GTth6lMbL9I8CAgby	0.0	Anderson East	170	53	64370	0.0	0.0	null	5q6z6GTth6lMbL9I8CAgby.jpg	folk-pop, modern blues, new americana	0.0	5q6z6GTth6lMbL9I8CAgby	0	0	0.0	118	5q6z6GTth6lMbL9I8CAgby	0.0	0.0
1c4rxrxy8eDLvMVL1DTiBe	0.0	Andra Day	171	58	197667	0.0	0.0	null	1c4rxrxy8eDLvMVL1DTiBe.jpg	NaN	0.0	1c4rxrxy8eDLvMVL1DTiBe	0	0	0.0	119	1c4rxrxy8eDLvMVL1DTiBe	0.0	0.0
2CefeOM98Zx2FFrGXBgpms	0.0	MSTR ROGERS	172	34	2682	0.0	0.0	null	2CefeOM98Zx2FFrGXBgpms.jpg	NaN	0.0	2CefeOM98Zx2FFrGXBgpms	0	0	0.0	120	2CefeOM98Zx2FFrGXBgpms	0.0	0.0
2GHclqNVjqGuiE5mA7BEoc	0.0	Common	173	61	440678	0.0	0.0	null	2GHclqNVjqGuiE5mA7BEoc.jpg	alternative hip hop, dirty south rap, gangster rap, hip hop, neo soul, pop rap, rap, southern hip hop	0.0	2GHclqNVjqGuiE5mA7BEoc	0	0	0.0	121	2GHclqNVjqGuiE5mA7BEoc	0.0	0.0
3EA9hVIzKfFiQI0Kikz2wo	0.0	Andrea Bocelli	174	66	639044	0.0	0.0	null	3EA9hVIzKfFiQI0Kikz2wo.jpg	classical tenor, italian pop, operatic pop	0.0	3EA9hVIzKfFiQI0Kikz2wo	0	0	0.0	122	3EA9hVIzKfFiQI0Kikz2wo	0.0	0.0
0gm1lHoOXAdy5OB4AwFYRr	0.0	Giorgia	175	56	254441	0.0	0.0	null	0gm1lHoOXAdy5OB4AwFYRr.jpg	classic italian pop, italian arena pop, italian pop	0.0	0gm1lHoOXAdy5OB4AwFYRr	0	0	0.0	123	0gm1lHoOXAdy5OB4AwFYRr	0.0	0.0
716ZwtZBmwROBXcFmCzfdM	0.0	Andrew McMahon in the Wilderness	176	56	104566	0.0	0.0	null	716ZwtZBmwROBXcFmCzfdM.jpg	indie pop, indie poptimism, indietronica, modern rock, neo mellow, piano rock, pop rock	0.0	716ZwtZBmwROBXcFmCzfdM	0	0	0.0	124	716ZwtZBmwROBXcFmCzfdM	0.0	0.0
09NYzWfQlunWS3XBZFaDEC	0.0	Andy Black	177	51	232404	0.0	0.0	null	09NYzWfQlunWS3XBZFaDEC.jpg	pixie, pop punk	0.0	09NYzWfQlunWS3XBZFaDEC	0	0	0.0	125	09NYzWfQlunWS3XBZFaDEC	0.0	0.0
1hlXIybvN1I8r3ooBEkYRh	0.0	Juliet Simms	178	43	37088	0.0	0.0	null	1hlXIybvN1I8r3ooBEkYRh.jpg	deep talent show	0.0	1hlXIybvN1I8r3ooBEkYRh	0	0	0.0	126	1hlXIybvN1I8r3ooBEkYRh	0.0	0.0
7qVz2CTVWQynqvLaaxZXw6	0.0	Matt Skiba	179	35	12270	0.0	0.0	null	7qVz2CTVWQynqvLaaxZXw6.jpg	orgcore, skate punk	0.0	7qVz2CTVWQynqvLaaxZXw6	0	0	0.0	127	7qVz2CTVWQynqvLaaxZXw6	0.0	0.0
2oX42qP5ineK3hrhBECLmj	0.0	Andy Grammer	180	67	495742	0.0	0.0	null	2oX42qP5ineK3hrhBECLmj.jpg	dance pop, neo mellow, pop, pop rock, post-teen pop, viral pop	0.0	2oX42qP5ineK3hrhBECLmj	0	0	0.0	128	2oX42qP5ineK3hrhBECLmj	0.0	0.0
1TMrnxBwZfmfRxsGzkNIHw	0.0	Andy Mineo	181	63	290982	0.0	0.0	null	1TMrnxBwZfmfRxsGzkNIHw.jpg	christian hip hop	0.0	1TMrnxBwZfmfRxsGzkNIHw	0	0	0.0	129	1TMrnxBwZfmfRxsGzkNIHw	0.0	0.0
0AKzJfX9rdEu8WOqeBLEaO	0.0	Wordsplayed	182	52	17902	0.0	0.0	null	0AKzJfX9rdEu8WOqeBLEaO.jpg	christian hip hop, christian trap	0.0	0AKzJfX9rdEu8WOqeBLEaO	0	0	0.0	130	0AKzJfX9rdEu8WOqeBLEaO	0.0	0.0
