Id	eigencentrality	0	eccentricity	betweenesscentrality	timeset	harmonicclosnesscentrality	id	degree	triangles	clustering	modularity_class	label	closnesscentrality	weighted degree
0gkas0BrHR6rmF5z12BneK	8.676609009921236E-4	The Handbaggers	14.0	0.0	null	0.12802564429712665	0gkas0BrHR6rmF5z12BneK	1	0	0.0	5729	0gkas0BrHR6rmF5z12BneK	0.1250310038149456	2.0
1GwxXgEc6oxCKQ5wykWXFs	0.06948019100863094	Prodigy	11.0	20344.306801668532	null	0.2402795498369823	1GwxXgEc6oxCKQ5wykWXFs	7	1	0.047619047619047616	5656	1GwxXgEc6oxCKQ5wykWXFs	0.22165455725622396	20.0
5GnD3nJLWruCGFwAGmM6Bc	0.003140513713353511	Gracie McGraw	11.0	0.0	null	0.19276013283902876	5GnD3nJLWruCGFwAGmM6Bc	1	0	0.0	4957	5GnD3nJLWruCGFwAGmM6Bc	0.18468570631029851	4.0
5g4EsHXsQicBSNXnf82oRh	0.0	Mya feat. Marques Houston	0.0	0.0	null	0.0	5g4EsHXsQicBSNXnf82oRh	0	0	0.0	972	5g4EsHXsQicBSNXnf82oRh	0.0	0.0
7HZokAjDop6Gjgtghfr8lp	6.540654439675525E-4	Gene Harris	14.0	0.0	null	0.12993157471240946	7HZokAjDop6Gjgtghfr8lp	1	0	0.0	4587	7HZokAjDop6Gjgtghfr8lp	0.12683464529192576	18.0
7n0lzHt8P9QczAwhpuIvlp	0.0	Lando e Dino	0.0	0.0	null	0.0	7n0lzHt8P9QczAwhpuIvlp	0	0	0.0	973	7n0lzHt8P9QczAwhpuIvlp	0.0	0.0
32u9CKycDgCYyQFIOKJUhY	4.143912571332906E-4	LMJ	1.0	0.0	null	1.0	32u9CKycDgCYyQFIOKJUhY	1	0	0.0	974	32u9CKycDgCYyQFIOKJUhY	1.0	2.0
2X3YB3wL4fGa6cMOzHpnkT	0.0017405342762728865	Collage	2.0	9.0	null	0.9	2X3YB3wL4fGa6cMOzHpnkT	4	0	0.0	6002	2X3YB3wL4fGa6cMOzHpnkT	0.8333333333333334	32.0
77GFTVwA0F6Ag1xtlYr0UA	0.0	Buster Poindexter And His Banshees Of Blue	0.0	0.0	null	0.0	77GFTVwA0F6Ag1xtlYr0UA	0	0	0.0	975	77GFTVwA0F6Ag1xtlYr0UA	0.0	0.0
6mXlDbi03T8wXYwWYew0Ut	0.026300430695077565	Rich Boy	11.0	12099.288374043976	null	0.22060952566337386	6mXlDbi03T8wXYwWYew0Ut	3	0	0.0	5415	6mXlDbi03T8wXYwWYew0Ut	0.2053141970519783	10.0
