name,betweenesscentrality,closnesscentrality,clustering,degree,eccentricity,eigencentrality,harmonicclosnesscentrality,weighted degree,pagerank,Spotify ID,Cluster,profile
Juanes,0.0005708182827851339,0.09134057420482618,0.0,10,13,0.0005006414177051344,1297.7435619936123,38,0.00021057705072434921,0UWZUmn7sybxMCqrw9tGa7,4,1A 2B 3A 4A
Station Q,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,7ojcehIyoj00L1Hsis6moB,1,1A 2A 3A 4A
Cian Coey,0.0,0.057425281810352224,0.0,1,16,4.9351021619094945e-08,782.746804584287,4,3.8037471551320034e-05,5uZABW0MKKsLJBYh064FfD,2,1A 2B 3A 4A
Mac Mall,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,18jS3V7OkXYfDu3CEK6a0T,1,1A 2A 3A 4A
Arun Chaturvedi,0.0,0.07124331658307842,0.0,1,13,1.4306904661862327e-06,989.204972804929,4,4.3779272197300136e-05,6Rog86Nl1yEsuf672zGoYc,5,1A 2B 3A 4A
Possiblephilly,0.0,0.09011886155115259,0.0,3,14,0.0022921990456984363,1296.726814851846,6,3.541781190765786e-05,7fz4DowpsgJt1ZG342xNEz,4,1A 2B 3A 4A
Melissa Musique,0.0,0.08500879341011848,0.0,1,13,9.910306274207381e-05,1194.4921550671727,4,3.421599264734957e-05,14RjDeaJGDjWX5WqUkBcma,4,1A 2B 3A 4A
Casey Veggies,0.0,0.09874968580853638,0.0,1,13,0.005289542269913304,1422.6900266400692,4,2.4799207623990677e-05,0uFc6StTmJBvdHPZFDkdJy,4,1A 2B 3A 4A
Stalking Gia,0.0,0.09590087827225915,0.0,1,14,0.0026035423190877926,1369.8743978244456,2,2.3419924284063593e-05,3VTJqPiHqHHIrx1FL7avMY,4,1A 2B 3A 4A
Ben Williams,0.0003098203775267294,0.08550479687250703,0.0,7,14,0.0005010915076273775,1213.6295204795408,36,0.0002726508736039518,2NVNbP5qYO9vHhOPGGuPJV,4,1A 2B 3A 4A
Krizz Kaliko,0.0,0.09338011920552337,0.0,1,14,0.002923057586956641,1346.1831279831656,2,2.080999909669406e-05,3SEJQy90Vgg1aSnZ9b4AU9,4,1A 2B 3A 4A
Crys Wall,0.0,0.08304570871424127,0.0,1,14,0.0003631648103100936,1182.7635031635073,4,2.781001150080565e-05,3RmX2bn1EK6OU8wjdmcZeq,5,1A 2B 3A 4A
Fern Kinney,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,7tqYLHfwfsXiXdFtMIds2K,1,1A 2A 3A 4A
DaeDae,0.0,0.09200483453467005,0.0,1,14,0.0027814141348395578,1316.6085608835976,2,1.9422590473810676e-05,2KxfIiUpPcZ18553NYHiDY,4,1A 2B 3A 4A
Tony Carey,0.0,7.528419784687193e-05,0.0,3,1,6.235891544425749e-14,1.0,84,0.00012484282504543226,4urvwbid7NFoVes5PTx9lV,1,1A 2A 3A 4A
Jimmy Merchant,0.0,0.08634233833546502,0.0,1,14,0.0002846139774760271,1214.6312881563115,4,3.792629897364261e-05,3Dq15TXB2HXGUDgBZIRmqM,4,1A 2B 3A 4A
Jay & The Americans,6.801764599928199e-08,0.00030113679138748774,0.0,6,1,4.632589832268349e-12,4.0,66,0.00029651541186975864,0DAqhikcMKLo2lPADVz2fs,1,1A 2A 3A 4A
Jeff Barnes,0.0,0.000997884661656577,0.0,1,2,5.4624807584196065e-09,13.5,2,3.666104778342513e-05,1ZuLZjwnU6xXbCjo9tddEZ,1,1A 2A 3A 4A
LunchMoney Lewis,0.0005061350463624741,0.11030134886021552,0.1111111111111111,11,13,0.032101419615182335,1623.4204378954669,48,0.00013534078425095445,2iUbk5KhZYZt4CRvWbwb7S,0,1A 2B 3A 4A
Lil Rob,0.0,7.528419784687193e-05,0.0,3,1,6.235891544425749e-14,1.0,6,0.00012484282504543226,7B7TGqQe7QTVm2U6q8jzk1,1,1A 2A 3A 4A
Cutmore,0.0013945870541725955,0.10028138713950821,0.0,3,12,0.0031077141389929206,1433.0480880231398,12,8.471355115934978e-05,19Nvb77ZQIw8gff2ZYg3cS,4,1A 2B 3A 4A
Raymix,0.0,0.07757270362727083,0.0,3,14,2.5232520005383685e-05,1079.4012126761795,6,4.695200263764273e-05,0hHT2BH7XTm3ZdZb6CX064,5,1A 2B 3A 4A
