Id,name,popularity,followers,genres,image,Spotify ID
2011,The Maine,61,313683,"emo, modern rock, pop emo, pop punk, pop rock, post-teen pop",4o0pNHbyj36LPvukNqEug0.jpg,4o0pNHbyj36LPvukNqEug0
2012,The Monkees,59,326421,"brill building pop, bubblegum pop, christmas, classic rock, folk rock, mellow gold, psychedelic rock, rock, rock-and-roll, soft rock",320EPCSEezHt1rtbfwH6Ck.jpg,320EPCSEezHt1rtbfwH6Ck
2013,The National,67,861890,"chamber pop, folk-pop, indie folk, indie pop, indie rock, modern rock, stomp and holler",2cCUtGK9sDU2EoElnk0GNB.jpg,2cCUtGK9sDU2EoElnk0GNB
2014,The Neighbourhood,73,2131975,modern alternative rock,77SW9BnxLY8rJ0RciFqkHh.jpg,77SW9BnxLY8rJ0RciFqkHh
2015,The New Pornographers,47,103139,"alternative rock, anti-folk, art pop, canadian indie, chamber pop, folk-pop, freak folk, indie folk, indie pop, indie rock, lo-fi, modern rock, neo-psychedelic, noise pop, stomp and holler, vancouver indie",4mO4aGO6u29UyR6XLZR9XW.jpg,4mO4aGO6u29UyR6XLZR9XW
2016,The Notorious B.I.G.,76,2783781,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap",5me0Irg2ANcsgc93uaYrpb.jpg,5me0Irg2ANcsgc93uaYrpb
2017,Mase,64,234615,"dirty south rap, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, r&b, rap, southern hip hop, urban contemporary",1wiBLzTI7z9RUwEpNPdFT6.jpg,1wiBLzTI7z9RUwEpNPdFT6
2018,Faith Evans,66,459797,"dance pop, gangster rap, hip hop, hip pop, neo soul, new jack swing, quiet storm, r&b, rap, urban contemporary",5NDMothbpdpq2xHqSjrrWn.jpg,5NDMothbpdpq2xHqSjrrWn
2019,Ja Rule,68,671739,"dance pop, dirty south rap, east coast hip hop, gangster rap, hip hop, hip pop, pop rap, r&b, rap, urban contemporary",1J2VVASYAamtQ3Bt8wGgA6.jpg,1J2VVASYAamtQ3Bt8wGgA6
2020,The Piano Guys,64,778816,"bow pop, classify",0jW6R8CVyVohuUJVcuweDI.jpg,0jW6R8CVyVohuUJVcuweDI
2021,The Pretty Reckless,58,644037,"candy pop, post-teen pop",2R57sY41L9XvGPiIgHOaYq.jpg,2R57sY41L9XvGPiIgHOaYq
2022,The Replacements,50,102863,"alternative country, alternative pop, alternative rock, anti-folk, dance rock, indie rock, jangle pop, lo-fi, neo-psychedelic, new wave, noise pop, permanent wave, pop rock, post-punk, power pop, punk, rock, roots rock",4WPY0N74T3KUja57xMQTZ3.jpg,4WPY0N74T3KUja57xMQTZ3
2023,The Rolling Stones,76,5076001,"album rock, british invasion, classic rock, protopunk, rock",22bE4uQ6baNwSHPVcDxLCe.jpg,22bE4uQ6baNwSHPVcDxLCe
2024,The Script,74,3805739,"celtic rock, neo mellow, pop, pop rock, post-teen pop, viral pop",3AQRLZ9PuTAozP28Skbq8V.jpg,3AQRLZ9PuTAozP28Skbq8V
