Source,Target,Type,Id,Weight,label1,label2,name1,name2,id_track,label_track,title,explicit,popularity,release_date,release_date_precision
1,3,Undirected,1,8,17lzZA2AlOHwCwFALHttmp,0VRj0yCOv2FXJNP47XQnx5,2 Chainz,Quavo,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,3,Undirected,1,8,17lzZA2AlOHwCwFALHttmp,0VRj0yCOv2FXJNP47XQnx5,2 Chainz,Quavo,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,3,Undirected,1,8,17lzZA2AlOHwCwFALHttmp,0VRj0yCOv2FXJNP47XQnx5,2 Chainz,Quavo,10585,0rHJxNaQRMGK6Y4TUx3xRO,Castro,True,57,23/12/2016,day
1,2,Undirected,0,4,17lzZA2AlOHwCwFALHttmp,3TVXtAsR1Inumwj472S9r4,2 Chainz,Drake,153,4XoP1AkbOurU9CeZ2rMEz2,F**kin' Problems,True,76,11/01/2013,day
1,2,Undirected,0,4,17lzZA2AlOHwCwFALHttmp,3TVXtAsR1Inumwj472S9r4,2 Chainz,Drake,153,4XoP1AkbOurU9CeZ2rMEz2,F**kin' Problems,True,76,11/01/2013,day
2,16,Undirected,23133,4,3TVXtAsR1Inumwj472S9r4,0A0FS04o6zMoto8OKPsDwY,Drake,YG,10576,1uDjaezEbalGyGnuH80zDK,Who Do You Love?,True,67,01/01/2014,day
2,16,Undirected,23133,4,3TVXtAsR1Inumwj472S9r4,0A0FS04o6zMoto8OKPsDwY,Drake,YG,10576,1uDjaezEbalGyGnuH80zDK,Who Do You Love?,True,67,01/01/2014,day
2,1998,Undirected,21693,2,3TVXtAsR1Inumwj472S9r4,0NbfKEOTQCcwd6o7wSDOHI,Drake,The Game,9550,46MFlm7p0Vqd0eXmLtDlN4,100 (feat. Drake),True,55,09/10/2015,day
2,1616,Undirected,19858,2,3TVXtAsR1Inumwj472S9r4,5lwmRuXgjX8xIwlnauTZIP,Drake,Romeo Santos,8339,1iLv1ieT9BZ3qsti9yTCnG,Odio,False,72,25/02/2014,day
2,8,Undirected,19630,2,3TVXtAsR1Inumwj472S9r4,6vXTefBL93Dj5IqAWq6OTv,Drake,French Montana,8214,0nq6sfr8z1R5KJ4XUk396e,Stay Schemin,True,61,10/04/2012,day
2,1290,Undirected,18692,4,3TVXtAsR1Inumwj472S9r4,2HPaUgqeutzr3jx5a9WyDV,Drake,PARTYNEXTDOOR,7616,5wUUWVRvrciJqFitZF8R0P,Recognize (feat. Drake),True,67,29/07/2014,day
2,1290,Undirected,18692,4,3TVXtAsR1Inumwj472S9r4,2HPaUgqeutzr3jx5a9WyDV,Drake,PARTYNEXTDOOR,7616,5wUUWVRvrciJqFitZF8R0P,Recognize (feat. Drake),True,67,29/07/2014,day
2,471,Undirected,17860,2,3TVXtAsR1Inumwj472S9r4,5pKCCKE2ajJHZ9KAiaK11H,Drake,Rihanna,7064,739vCwA3EpBSkk3uDsI2wB,Lemon - Drake Remix,True,79,18/03/2018,day
2,472,Undirected,17449,2,3TVXtAsR1Inumwj472S9r4,6oMuImdp5ZcFhWP0ESe6mG,Drake,Migos,6790,6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,True,87,26/01/2018,day
2,750,Undirected,17260,2,3TVXtAsR1Inumwj472S9r4,20sxb77xiYeusSH8cVdatc,Drake,Meek Mill,6633,0Y0TOsE1q11qgbi7c5WZsG,R.I.C.O. (feat. Drake),True,73,29/06/2015,day
2,33,Undirected,15903,2,3TVXtAsR1Inumwj472S9r4,0hCNtLu0JehylgoiP8L4Gh,Drake,Nicki Minaj,6040,7KcGEssn7BnJdTgildK5y0,No Frauds,True,68,10/03/2017,day
2,772,Undirected,15885,2,3TVXtAsR1Inumwj472S9r4,7dGJo4pcD2V6oG8kP0tJRR,Drake,Eminem,6038,5UsLjwBaTHBX4ektWIr4XX,Forever,True,66,15/05/2009,day
2,841,Undirected,15883,2,3TVXtAsR1Inumwj472S9r4,5K4W6rqBFWDnAN6FQUkS6x,Drake,Kanye West,6038,5UsLjwBaTHBX4ektWIr4XX,Forever,True,66,15/05/2009,day
2,11,Undirected,9661,4,3TVXtAsR1Inumwj472S9r4,13y7CgLHjMVRMDqxdx0Xdo,Drake,Gucci Mane,3988,3VCYe6mCXebBgcfzaxCVNI,Both (feat. Drake & Lil Wayne) - Remix,True,70,14/04/2017,day
2,11,Undirected,9661,4,3TVXtAsR1Inumwj472S9r4,13y7CgLHjMVRMDqxdx0Xdo,Drake,Gucci Mane,3988,3VCYe6mCXebBgcfzaxCVNI,Both (feat. Drake & Lil Wayne) - Remix,True,70,14/04/2017,day
2,780,Undirected,7582,2,3TVXtAsR1Inumwj472S9r4,3fMbdgg4jU18AjLCKBhRSm,Drake,Michael Jackson,2945,6G8kHiVZ1jW7vHMPVRNZU0,Don’t Matter To Me (with Michael Jackson),False,84,29/06/2018,day
2,285,Undirected,7350,10,3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865,Drake,Lil Wayne,6040,7KcGEssn7BnJdTgildK5y0,No Frauds,True,68,10/03/2017,day
2,285,Undirected,7350,10,3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865,Drake,Lil Wayne,6040,7KcGEssn7BnJdTgildK5y0,No Frauds,True,68,10/03/2017,day
2,285,Undirected,7350,10,3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865,Drake,Lil Wayne,6040,7KcGEssn7BnJdTgildK5y0,No Frauds,True,68,10/03/2017,day
2,285,Undirected,7350,10,3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865,Drake,Lil Wayne,6040,7KcGEssn7BnJdTgildK5y0,No Frauds,True,68,10/03/2017,day
2,285,Undirected,7350,10,3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865,Drake,Lil Wayne,6040,7KcGEssn7BnJdTgildK5y0,No Frauds,True,68,10/03/2017,day
2,675,Undirected,7349,6,3TVXtAsR1Inumwj472S9r4,1sBkRIssrMs1AbVkOJbc7a,Drake,Rick Ross,8214,0nq6sfr8z1R5KJ4XUk396e,Stay Schemin,True,61,10/04/2012,day
2,675,Undirected,7349,6,3TVXtAsR1Inumwj472S9r4,1sBkRIssrMs1AbVkOJbc7a,Drake,Rick Ross,8214,0nq6sfr8z1R5KJ4XUk396e,Stay Schemin,True,61,10/04/2012,day
2,675,Undirected,7349,6,3TVXtAsR1Inumwj472S9r4,1sBkRIssrMs1AbVkOJbc7a,Drake,Rick Ross,8214,0nq6sfr8z1R5KJ4XUk396e,Stay Schemin,True,61,10/04/2012,day
2,755,Undirected,7348,4,3TVXtAsR1Inumwj472S9r4,0QHgL1lAIqAw0HtD7YldmP,Drake,DJ Khaled,2863,5TqBAOIBe0bQA0spNdcG3k,For Free,True,57,05/08/2016,day
2,755,Undirected,7348,4,3TVXtAsR1Inumwj472S9r4,0QHgL1lAIqAw0HtD7YldmP,Drake,DJ Khaled,2863,5TqBAOIBe0bQA0spNdcG3k,For Free,True,57,05/08/2016,day
2,20,Undirected,7277,6,3TVXtAsR1Inumwj472S9r4,1RyvyyTE3xzB2ZywiAwp0i,Drake,Future,6039,7tGlzXJv6GD5e5qlu5YmDg,Love Me,True,68,01/01/2013,day
2,20,Undirected,7277,6,3TVXtAsR1Inumwj472S9r4,1RyvyyTE3xzB2ZywiAwp0i,Drake,Future,6039,7tGlzXJv6GD5e5qlu5YmDg,Love Me,True,68,01/01/2013,day
2,20,Undirected,7277,6,3TVXtAsR1Inumwj472S9r4,1RyvyyTE3xzB2ZywiAwp0i,Drake,Future,6039,7tGlzXJv6GD5e5qlu5YmDg,Love Me,True,68,01/01/2013,day
2,68,Undirected,563,2,3TVXtAsR1Inumwj472S9r4,2YZyLoL8N0Wb9xBt1NhZWg,Drake,Kendrick Lamar,153,4XoP1AkbOurU9CeZ2rMEz2,F**kin' Problems,True,76,11/01/2013,day
2,48,Undirected,561,2,3TVXtAsR1Inumwj472S9r4,13ubrt8QOOCPljQ2FL1Kca,Drake,A$AP Rocky,153,4XoP1AkbOurU9CeZ2rMEz2,F**kin' Problems,True,76,11/01/2013,day
2,3,Undirected,3,2,3TVXtAsR1Inumwj472S9r4,0VRj0yCOv2FXJNP47XQnx5,Drake,Quavo,1,5S1IUPueD0xE0vj4zU3nSf,Bigger Than You (feat. Drake & Quavo),True,85,15/06/2018,day
3,38,Undirected,23259,2,0VRj0yCOv2FXJNP47XQnx5,50co4Is1HCEo8bhOyUWKpn,Quavo,Young Thug,10632,1BSA5I386L2IAmFQURYjIz,"Guwop (feat. Quavo, Offset and Young Scooter)",True,66,26/08/2016,day
3,4,Undirected,22539,2,0VRj0yCOv2FXJNP47XQnx5,7c0XG5cIJTrrAgEC3ULPiq,Quavo,Ty Dolla $ign,10179,2R7Gn3cjnPaVO0Oj8nsTDP,Pineapple (feat. Gucci Mane & Quavo),True,77,11/05/2018,day
3,869,Undirected,19598,2,0VRj0yCOv2FXJNP47XQnx5,1pPmIToKXyGdsCF6LmqLmI,Quavo,Rich The Kid,8203,0P1O6JO2i19etVxXqgPHpa,Lost It (feat. Quavo & Offset),True,75,30/03/2018,day
3,42,Undirected,17669,2,0VRj0yCOv2FXJNP47XQnx5,7wlFDEWiM5OoIAt8RSli8b,Quavo,YoungBoy Never Broke Again,6925,3LUPftNsM4KOk7kINY8keB,Pleading The Fifth (feat. Quavo),True,62,17/11/2017,day
3,193,Undirected,16848,2,0VRj0yCOv2FXJNP47XQnx5,738wLrAtLtCtFOLvQBXOXp,Quavo,Major Lazer,6378,6BKeNWeUqxmvQ09Gxd3ZGX,Know No Better,False,68,01/06/2017,day
3,101,Undirected,15932,2,0VRj0yCOv2FXJNP47XQnx5,6icQOAFXDZKsumw3YXyusw,Quavo,Lil Yachty,6053,3wdfLVUhmX64lIyWIIEW8s,Ice Tray,True,75,08/12/2017,day
3,40,Undirected,15720,2,0VRj0yCOv2FXJNP47XQnx5,46SHBwWsqBkxI7EeeBEQG7,Quavo,Kodak Black,5963,49K3jbwZmZKaDGTfjpIVg0,My Dawg,True,70,08/12/2017,day
